ATM,Address,lat,lon
Arkan Plaza,Sheikh Zayed - 6th October,31.003809,30.02319
Altor Sinai Branch,29 Ahmed hamdy Street. - Tor sinai,28.2417062,33.6279649
Samalut Branch,Misr Assiut Road - Menya,28.315578,30.710977
Mahala Branch,23 July St.,30.97467,31.167309
Fayoum Branch,"Gamal Abd Elnaser St,Fayoum entrance",29.311897,30.849647
"Helwan Eng. Ind. Co.,","Helwan Engineering Industries, Factory area",29.86557,31.328851
15 May Branch,Megawra 3 Business district,29.8295688,31.364454
Tawfekeya Club,Ahmed Oraby St.,30.065612,31.206118
Shoubra,"Dawaran Shubra, near Wesaya Resturant",30.079532,31.244903
Semad Abou Qier (Factory),El Tabia Rusheed line,31.319745,30.062504
El Shefaa Hospital,"Abdel Latif El Sofany St., from Port Said st.",31.217738,29.93428
Concord El Salam Sharm El Sheikh,Peace Road Airport Sharm Concord Resort,27.964234,34.399116
El Salam Concord Hotel Branch,69 Abdel Hamid Badawy St.,30.124027,31.348068
10 th of ramadan New Branch,1st district beside Sednawy and El Tawheed Mosque,30.2899635,31.7398667
El Galaa Domiatt Branch,El Galaa St.,31.4171571,31.8133458
Zagazig Branch,35 Talaat Harab St.,30.588028,31.504455
Fresh Bek El Rehab,"Fresh Beck, Commercial Market",30.055363,31.492296
Petrol Gas Station Sharm,"Petrol Gas Station, Neama Bay",27.854681,34.302165
Seoudi Market- Zayed October,Seoudi Market - Zayed October - Entrance Zayed 2000,30.030279,30.995473
Cairo New Airport,New Airport Terminal 3,30.111576,31.3968
Arabian Academy,Arabian Academy,31.312284,30.065866
Cilantro Cafe - Maadi,"El Nasr St.,New Maadi",29.976249,31.284869
Sherouk Branch,Heliopolis Club Wall,30.132992,31.61523
New Cairo Branch,"The South of 90 St., - New Cairo",30.025908,31.467108
Cilantro Cafe - Mokattam,El Mokkattam – El Nafoura Square,30.069274,31.344145
Cilantro Cafe - Nasr City,Nasr city - City Light Makram Ebeid,30.068601,31.344255
City Stars Mall,City Stars Mall- fifth floor beside Ruby Tuesday shop,30.073713,31.344246
PRIVILEGE School,Maarag City -Behind Carrefour Maadi - Maadi,29.974549,31.307368
Fathala Market-Tanta,"Tanta - Said S., - in front of the Faculty of Commerce",30.798033,31.001381
Marriot Hotel Office,Marriot Hotel - Zamalek,30.057936,31.224911
Social Club Sharm,"Sharm Social Club (Club marine sports) previously, from Mohamed El Yamani, next to the Old Market",27.862212,34.289298
