name, lng, lat
Abbas El Akkad Experimental School, 31.33031, 30.066508
Abbas Secondary Experimental Language School, 31.2354826, 30.0648088
Abdel Moneim Wasel Official Language School, 30.062354, 31.304549
Abdel Qader Abou Akkada Experimental School, 29.996479, 31.238479
Abdel Razeq Abdel Magid Experimental Language School, 29.980914, 31.255877
Abdel Salam El Mahgoub Experimental School, 29.9788837, 31.2025777
Abou Bakr El Seddik Experimental Language School, 32.641604, 25.688396
Abou Bakr El Seddik Primary Experimental School, 31.347288, 30.767039
Abou Bakr El Seddik Secondary Experimental Language School, 32.2728968, 31.2698692
Abou Bakr Secondary Mathematical Experimental School, 31.276204, 30.0647775
Abou Meliha Experimental Language School, 31.657301, 30.720995
Aga Preparatory Experimental School For Boys, 31.296926, 30.939338
Ahmed Fathy Sorour Preparatory Experimental School, 30.009524, 31.249383
Ahmed Hassan El Baqoury Primary Experimental School, 29.9954146, 31.2299842
Ahmed Helmy Secondary Experimental School, 31.255583, 30.101275
Ahmed Lotfy El Sayed Experimental School, 29.8908458, 31.1987721
Ahmed Lotfy El Sayed Official Language School, 32.5014988, 29.9899707
Ahmed Magdy Abou Zaid Primary Experimental School, 30.0583503, 31.3185683
Ahmed Maher Experimental School, 31.280259, 30.080538
Al Horreya Language School, 31.2331319, 30.0716334
Al Kasr Al Einy Official Languages School, 31.2346431, 30.0361442
Al Rassafa Primary Experimental Language School, 29.9204198, 31.1922408
Al Sedeek Official Language School, 31.353447, 30.048704
Al Sheikha Fatma Bent Mubarak Formal Language School, 31.3470894, 30.0747321
Alexandria Secondary School For Girls, 29.900838, 31.199429
Aly Gad Primary Experimental Language School, 29.993079, 31.257073
Amir El Bahr Preparatory Experimental Language School, 29.9171233, 31.1925012
Amir El Bahr Preparatory Experimental Language School For Boys, 29.91705, 31.192542
Ammar Ibn Yasser Experimental Language School, 31.2370758, 30.0845146
Amr Ibn El Aas Experimental School, 30.466471, 31.029135
Ashams Governmet Languages School, 31.2452, 30.0322
Asmaa Bent Abi Bakr Official Language School, 32.5066942, 29.994108
Asyout Experimental Language School, 31.171551, 27.198795
Atef Barakat Experimental Language School, 31.226002, 30.017781
Atef Sedqy Experimental Language School, 31.30718, 30.088554
Atteya El Zoaery Experimental School, 30.0162524, 31.2624227
Ayyad Experimental Primary School, 31.363604, 31.210835
Aziz Abaza Language School, 31.342574, 30.080206
Azza Zidan Secondary Experimental Language School, 30.830007, 29.318794
Badr Experimental Language School, 31.1888525, 27.1916867
Belqis Primary Experimental Language School, 29.9110293, 31.1996343
Bent El Shatea Experimental School, 31.459345, 30.068265
Bint El Shatea Experimental School, 31.459474, 30.068347
Borg El Arab Experimental School, 29.5864915, 30.8727097
Cleopatra Experimental School For Girls, 29.9370814, 31.2249646
