name, lng, lat
10th Of Ramadan Preparatory School For Boys, 32.2580481, 31.267838
10th Of Ramadan Primary School, 31.2731905, 30.0916537
10th Of Ramadan Primary School, 31.709584, 31.400381
10th Of Ramadan Primary School, 29.9831592, 31.2263929
10th Of Ramadan School, 32.2968971, 30.9738421
10Th Of Ramadan School, 31.559585, 30.50361
10th Of Ramadan Secondary School For Boys, 32.538043, 29.968161
10th Of Ramadan Secondary School For Girls, 32.532135, 29.983389
24th Of October Preparatory School, 32.518545, 29.9725943
24th Of October Primary School, 32.5222725, 29.9714609
25th Of January Primary School For Boys, 31.8292, 31.484193
25th Of January School, 31.657104, 31.428114
25th Of January Secondary School For Girls, 32.2796023, 30.5998126
6th Of October Preparatory Mixed School, 30.943056, 29.98095
6th Of October Primary School, 31.3479397, 30.1354801
6th Of October Primary School, 31.59715, 31.08791
6th Of October Primary School, 31.181259, 30.068983
6th Of October Primary School, 31.802239, 31.431174
6th Of October Primary School, 30.0145907, 31.2020892
6th Of October Primary School, 32.2664165, 31.2513022
6th Of October School, 31.176933, 30.04316
6th Of October Secondary School For Boys, 32.4945813, 30.0020546
6th Of October Secondary School For Girls, 30.943218, 29.980676
6th Of October Secondary School For Girls, 32.277792, 31.270033
Aaesha Umm El Moameneen Preparatory School For Girls, 32.501426, 25.593329
Aaesha Umm El Moameneen Secondary School For Girls, 31.2690479, 30.1301378
Abaza New School, 31.570071, 30.489203
Abbas El Akkad Preparatory School For Girls, 31.8048505, 31.4282239
Abbas El Akkad Primary School, 29.9372854, 31.2069861
Abbas El Akkad Primary School, 32.320248, 30.300232
Abbas El Kayyal Preparatory School, 31.594598, 31.18756
Abbas Helmy Secondary School For Girls, 29.791987, 31.111777
Abbas Mahmoud El Akkad Preparatory School For Girls, 32.5066437, 29.9874251
Abbas Mahmoud El Akkad Primary School, 32.284865, 31.260742
Abbas Zaher School, 31.799951, 31.427716
Abbis 10 Primary School, 29.9749046, 31.1732504
Abbis 2 Primary Mixed School, 30.0072267, 31.1888392
Abbis 7 Mixed School, 29.9565826, 31.1486636
Abbis 8 Mixed School, 29.9408166, 31.1231066
Abbis El Oulla Primary School, 30.0264903, 31.1765948
Abdel Aal Abou El Ghait School, 30.0475484, 31.243102
Abdel Aal Kharisa Preparatory School, 31.734494, 31.092772
Abdel Azim El Basaty Secondary School, 31.676574, 31.293734
Abdel Azim Hassan Abaza Preparatory School, 31.569799, 30.489606
Abdel Aziz Abdel Gawad Preparatory School For Boys, 29.9393374, 31.220018
Abdel Aziz Aly Primary School, 31.503779, 30.589741
Abdel Aziz El Sayed Secondary School For Boys, 31.352905, 30.053766
Abdel Aziz Gawish Preparatory School For Boys, 29.9683161, 31.2382059
Abdel Aziz Gawish Primary Mixed School, 31.2580374, 30.0856604
Abdel Aziz Haroun School, 29.961168, 31.1278043
Abdel Aziz Ibn Marawan School, 31.3178265, 29.8404224
Abdel Aziz Radwan School, 31.508349, 30.585137
Abdel Baeth Ahmed Abdel Fattah El Naggar Primary School, 31.46346, 30.911762
Abdel Basset Abdel Samad Primary School, 29.7198307, 30.7467504
Abdel Basset Abou El Ezz Primary Mixed School, 31.4816995, 31.081299
Abdel Fattah Nasser School, 31.284498, 29.775954
Abdel Ghaffar Bahwashy School, 31.267895, 29.773113
Abdel Hady El Emam Primary School, 31.727657, 31.366967
Abdel Halim Mogahed Primary School, 31.6043, 31.084942
Abdel Hamid Abdel Rahman Mowafy School, 31.728837, 31.24199
Abdel Hamid Abou Salha Primary School, 31.8483, 31.512342
Abdel Hamid Aly Mixed Secondary School, 31.1970011, 30.9708478
Abdel Hay Khalil Preparatory School For Boys, 31.160701, 30.965369
Abdel Khaleq Hasouna Preparatory School For Girls, 30.017581, 31.276428
Abdel Latif Hassanein Preparatory School, 31.51469, 30.588393
Abdel Latif Othman Preparatory School, 31.488485, 30.831535
Abdel Magid Selim Primary Mixed School, 31.171394, 30.9749414
Abdel Magid Shalaby Primary School, 31.565807, 31.412279
Abdel Maqsoud Lotfy Preparatory School, 31.502545, 30.865394
Abdel Mawgoud Awayan School, 31.222289, 29.886592
Abdel Mohameen El Sokkary Elementary School For Girls, 31.2415915, 30.7188949
Abdel Moneim El Odaysy Primary School, 32.504556, 25.588206
Abdel Moneim Mai Primary School, 31.684034, 31.264429
Abdel Moneim Riad Preparatory School, 31.3206267, 29.854714
Abdel Moneim Riad Preparatory School For Boys, 31.8099649, 31.4262347
Abdel Moneim Riad Preparatory School For Girls, 31.173894, 30.956179
Abdel Moneim Riad Primary School, 31.2588821, 30.0870147
Abdel Moneim Riad Primary School, 31.348844, 30.722153
Abdel Moneim Riad Primary School, 29.919886, 31.192447
Abdel Moneim Riad School, 31.321861, 29.859515
Abdel Moneim Sanad Preparatory Profession School For Boys, 32.5333392, 29.96808
Abdel Moneim Soliman School, 31.264772, 29.780069
Abdel Qader El Marqaby Preparatory School, 31.687344, 31.265227
Abdel Qader Preparatory School For Girls, 31.358816, 30.052583
Abdel Rahim Ramadan El Sabaa Primary School, 31.71636, 31.093422
Abdel Rahman Abou Zahra Primary School, 29.6974235, 30.7693708
Abdel Rahman El Faresy Preparatory School For Girls, 29.9576837, 31.1983599
Abdel Rahman El Kawakby Primary School, 29.892092, 31.187397
Abdel Rahman Ibn Ouf Primary School, 32.556009, 29.986275
Abdel Rahman Shokry Secondary School For Boys, 32.2648064, 31.2633651
Abdel Rahman Shokry Secondary School For Boys, 32.261558, 31.266667
Abdel Raouf Badawy Primary School, 32.692518, 25.761264
Abdel Salam Abdel Ghaffar Preparatory School For Boys, 30.018864, 31.275876
Abdel Salam Aref Primary School, 29.9254736, 31.2113613
Abdel Salam Aref Primary School, 31.809437, 31.424438
Abdel Salam Atwan Preparatory School For Boys, 31.913363, 30.861061
Abdel Samad Village Preparatory Mixed School, 31.0857282, 30.1107248
Abdel Wahab Abdel Mohsen Primary School, 31.252346, 29.572393
Abdel Wahab Zaidan Preparatory School, 31.328252, 30.802386
Abdel Zaher El Tayeb Primary School, 32.550854, 25.357498
Abdin Institution, 29.77473, 31.101626
Abdin Secondary School For Girls, 31.241527, 30.042092
Abdou Mabrouk Abdou Mahgoub Primary School, 30.060611, 31.315638
Abdullah El Gamal Primary School, 31.753272, 31.262317
Abdullah El Nadeem Primary School, 31.265963, 30.716345
Abdullah El Nadeem School, 32.5315368, 29.9692813
Abdullah El Nadeem School, 31.442345, 30.566095
Abdullah El Nadeem School, 31.473556, 30.53731
Abdullah El Nadim Primary Mixed School, 31.186371, 27.17728
Abdullah El Nadim Primary School, 31.310204, 30.124101
Abdullah El Nadim Primary School, 31.3307869, 30.0509622
Abdullah El Nadim Primary School For Boys, 29.94696, 31.223868
Abdullah Ibn El Zobair Primary School, 31.014868, 30.777694
Abdullah Ibn Rawaha Preparatory School For Boys, 31.2172598, 30.0999338
Abi El Dardaa Primary School, 29.894341, 31.191318
Abi Obaida Ibn El Garrah Primary School, 32.277349, 31.26187
Abnaa El Nil Primary School, 29.934192, 31.211021
Abnoub New Preparatory School For Girls, 31.153342, 27.265194
Abou Adawy Primary School, 31.58285, 31.33357
Abou Aly Primary Mixed School, 32.713975, 25.733882
Abou Amer Primary School, 31.507022, 30.59619
Abou Bakr El Razy Primary Mixed School, 29.7639249, 31.0906568
Abou Bakr El Seddik El Gadida School, 29.7584546, 30.9106614
Abou Bakr El Seddik Preparatory School, 31.29194, 30.731035
Abou Bakr El Seddik Preparatory School For Boys, 31.3351, 30.136858
Abou Bakr El Seddik Preparatory School For Girls, 30.815105, 27.436282
Abou Bakr El Seddik Primary Mixed School, 31.238122, 30.0900023
Abou Bakr El Seddik Primary Mixed School, 31.463534, 30.88835
Abou Bakr El Seddik Primary Mixed School, 30.8151296, 27.43634
Abou Bakr El Seddik Primary School, 31.2507534, 30.0437704
Abou Bakr El Seddik Primary School, 31.712691, 31.276135
Abou Bakr El Seddik Primary School, 31.484158, 31.041021
Abou Bakr El Seddik Primary School, 29.4704979, 30.9246083
Abou Bakr El Seddik Primary School, 32.554183, 25.298006
Abou Bakr El Seddik Primary School, 29.744006, 31.084517
Abou Bakr El Seddik Primary School, 31.279492, 29.655761
Abou Bakr El Seddik Primary School, 30.838513, 27.730292
Abou Bakr El Seddik Primary School, 31.0043463, 30.7952079
Abou Bakr El Seddik Primary School, 32.501201, 25.512884
Abou Bakr El Seddik Primary School, 32.257811, 30.598639
Abou Bakr El Seddik Primary School, 31.631822, 31.139164
Abou Bakr El Seddik Primary School, 32.544765, 25.619491
Abou Bakr El Seddik Primary School, 31.206509, 30.038272
Abou Bakr El Seddik Primary School, 31.567073, 30.416916
Abou Bakr El Seddik Primary School, 31.633453, 31.308448
Abou Bakr El Seddik Primary School, 31.287357, 30.781165
Abou Bakr El Seddik Primary School, 31.793433, 31.383734
Abou Bakr El Seddik School, 31.218504, 29.953219
Abou Bakr El Seddik Secondary Mixed School, 31.677665, 31.426681
Abou Bakr El Seddik Secondary Mixed School, 31.9421911, 30.6350249
Abou Bakr El Seddik Secondary School For Boys, 31.311877, 30.319208
Abou Besisa Primary School, 29.7675808, 30.9770089
Abou Doma Preparatory School, 29.699864, 30.960903
Abou Doma Primary School, 29.697375, 30.961317
Abou El Akhdar Preparatory School, 31.570761, 30.571116
Abou El Akhdar Primary School, 31.570534, 30.571527
Abou El Ela Preparatory School For Girls, 31.233649, 30.056269
Abou El Ela Primary School, 31.230676, 30.056038
Abou El Ezz El Hariry School, 29.9124214, 31.1916834
Abou El Ezz Primary School, 31.783152, 31.410196
Abou El Ezz Primary School, 31.651713, 31.291296
Abou El Fadl Primary School, 31.916292, 30.755639
Abou El Farag Primary Mixed School, 31.2342701, 30.0758211
Abou El Farag Primary School, 31.230412, 30.056337
Abou El Fotouh El Dengawy Primary School, 31.615959, 31.407467
Abou El Fotouh El Hariry Preparatory School For Girls, 31.622021, 31.20513
Abou El Gahour Primary Mixed School, 31.120743, 30.718044
Abou El Goud Primary School, 32.648889, 25.705336
Abou El Houl El Qawmeya Mixed School, 31.208815, 30.012356
Abou El Houl Preparatory School For Boys, 29.8729668, 31.1608934
Abou El Houl Preparatory School For Boys, 31.210646, 30.010897
Abou El Nomrous Primary Mixed School, 31.2190652, 29.952897
Abou El Saud El Souda Primary School, 31.764318, 31.173961
Abou El Saud Primary School, 31.2367895, 30.0139375
Abou El Seoud Preparatory School For Boys, 31.236856, 30.013912
Abou El Shohadaa Primary School, 31.329107, 30.808162
Abou Gerida School, 31.755027, 31.306106
Abou Hamad School, 31.235129, 29.501983
Abou Hamed El Ghazaly Secondary School, 32.548724, 30.093478
Abou Hammad New Preparatory Mixed School, 31.671803, 30.525673
Abou Hammad Secondary School For Boys, 31.6889932, 30.5358414
Abou Hammad Secondary School For Girls, 31.688101, 30.534897
Abou Homos New Preparatory School For Girls, 30.312698, 31.098172
Abou Homos Secondary Mixed School, 30.313192, 31.09656
Abou Kabir Secondary School For Boys, 31.671419, 30.730795
Abou Khalil Primary School, 31.850073, 30.708117
Abou Khalil School, 31.509197, 30.581553
Abou Matirid Primary School, 29.722166, 30.969957
Abou Nabhan Primary School, 31.255481, 30.743249
Abou Nagah Primary School, 31.348667, 30.599429
Abou Obaida Ibn El Garrah Primary School, 29.8551428, 31.079461
Abou Qaramit Preparatory School, 31.544251, 30.833483
Abou Qaramit Primary School, 31.540298, 30.835244
Abou Qurqas Secondary School For Boys, 30.81864, 27.928192
Abou Ragwan El Bahary School, 31.2697213, 29.7863013
Abou Ragwan El Qebly School, 31.269413, 29.768967
Abou Rashed Preparatory School, 31.597474, 31.368598
Abou Saada El Soghra School, 31.543095, 31.342578
Abou Saada School, 31.549905, 31.33077
Abou Salem School, 31.781862, 30.71934
Abou Saqr School, 31.804701, 30.757437
Abou Seir Preparatory School For Girls, 31.212357, 29.89821
Abou Shehata Primary School, 32.2512035, 30.5628501
Abou Soliman Primary School, 29.987022, 31.230138
Abou Sowair Secondary Mixed School, 32.117061, 30.567326
Abou Taleb Primary School, 31.658317, 31.354308
Abou Temraz School, 31.801085, 30.731664
Abou Tig Preparatory School For Girls, 31.319793, 27.049447
Abou Zaabal El Balad Preparatory Mixed School, 31.348506, 30.244086
Abou Zaabal El Balad Primary Mixed School, 31.348638, 30.244072
Abou Zaafa Primary Mixed School, 32.500488, 25.344045
Abtal El Obour Primary Mixed School, 31.3016622, 30.1263702
Abtal Sinaa Primary School, 31.210691, 30.4281846
Adel Gabr Secondary School For Boys, 31.076663, 30.14023
Adel Nasser School, 31.232784, 29.668874
Adly Aiad Primary Mixed School, 29.9072474, 31.1804271
Advanced Technical School For Maintenance Technology, 31.3595566, 30.0678085
Aga Secondary School For Boys, 31.293572, 30.942694
Ahaly El Marazeeq School, 31.254086, 29.813242
Ahd El Eslah Primary School, 29.897899, 31.19281
Ahmed Abbas Primary School, 29.9724219, 31.2407426
Ahmed Abdel Aziz Primary Mixed School, 31.241826, 30.075025
Ahmed Abdel Aziz Primary Mixed School, 31.1950621, 30.0123256
Ahmed Abdel Aziz Primary School, 31.2487046, 30.0175559
Ahmed Abdel Malek Preparatory School, 31.427411, 31.098507
Ahmed Abdel Rahim Secondary School For Girls, 30.8233371, 27.4398036
Ahmed Abdel Wahab Preparatory School, 31.463857, 30.597231
Ahmed Abdou El Sharbasy Secondary School For Boys, 31.732678, 31.156018
Ahmed Abdou Primary Old School, 32.52777, 29.971136
Ahmed Aboud Primary School, 29.8813372, 31.200869
Ahmed Agha Primary Mixed School, 30.9924262, 30.7762639
Ahmed Aly Preparatory School For Boys, 31.2390071, 30.9687554
Ahmed Amin Primary School, 31.2588312, 30.039251
Ahmed Atteya Taweela Primary School, 31.401334, 30.671939
Ahmed El Gaoudy Primary School, 31.273279, 29.8557108
Ahmed El Gohary Primary School, 31.344745, 30.684703
Ahmed El Hefny Primary School, 31.718728, 31.145145
Ahmed El Wafaey Primary School, 31.746422, 31.383794
Ahmed El Wakil Secondary School For Girls, 29.85517, 31.160855
Ahmed El Zeiny Primary School, 31.56246, 31.086341
Ahmed Essmat El Azizy Preparatory School For Girls, 31.405183, 31.075161
Ahmed Fathey El Akkad School, 31.2898778, 30.1202811
Ahmed Fouad Abdel Aziz Preparatory School, 31.2758258, 30.0639987
Ahmed Fouad Shohdy Primary Mixed School, 31.0691888, 30.135302
Ahmed Hammam Primary School, 31.473797, 30.944468
Ahmed Hassan El Zayyat Primary Mixed School, 31.3771542, 31.0558268
Ahmed Hassan El Zayyat Secondary School for Boys, 31.377135, 31.055737
Ahmed Ibn Edris School, 32.584639, 25.327444
Ahmed Ibn Tolon Primary School, 31.250243, 30.0300401
Ahmed Ibrahim Deraz Primary School, 31.62141, 31.083913
Ahmed Ibrahim Mogahed Primary School, 32.545295, 25.298534
Ahmed Ibrahim Soliman School, 31.698858, 31.221809
Ahmed Ismail El Sharqawy School, 31.555883, 31.371062
Ahmed Kamel El Sayed Primary School, 31.534479, 30.858423
Ahmed Khalil El Sayed Primary School, 31.503999, 30.642232
Ahmed Lotfy El Sayed Primary School, 31.2284218, 30.024494
Ahmed Lotfy El Sayed Primary School, 31.53089, 30.855756
Ahmed Lotfy El Sayed Primary School, 31.399414, 31.042894
Ahmed Lotfy El Sayed Secondary Military School For Boys, 31.194369, 30.009838
Ahmed Lotfy El Sayed Secondary School For Boys, 31.4568722, 30.8875218
Ahmed Maher Preparatory School For Boys, 31.224219, 30.022583
Ahmed Maher Secondary School For Boys, 32.029258, 31.186542
Ahmed Mogahed Preparatory School For Boys, 31.603922, 31.083805
Ahmed Mohamed El Naggar Preparatory School, 31.714992, 31.146708
Ahmed Orabi Preparatory School, 31.495268, 30.584075
Ahmed Orabi Preparatory School For Boys, 31.167651, 30.959299
Ahmed Orabi Primary Experimental School, 31.5993551, 31.0879372
Ahmed Orabi Primary Mixed School, 31.2512326, 30.0922108
Ahmed Orabi Primary Mixed School, 32.548424, 29.977734
Ahmed Orabi Primary School, 31.425599, 31.118032
Ahmed Orabi Primary School, 29.9203312, 31.1961494
Ahmed Orabi Primary School, 31.24461, 30.72044
Ahmed Orabi Primary School, 31.274909, 29.8482018
Ahmed Orabi Primary School, 31.8371, 31.503282
Ahmed Orabi Primary School, 32.2869083, 31.2624791
Ahmed Orabi Primary School, 32.747165, 29.566748
Ahmed Orabi Private School, 31.252579, 30.089441
Ahmed Orabi School, 31.312996, 30.140488
Ahmed Orabi School, 31.219518, 30.073834
Ahmed Orabi School For Boys, 31.519293, 30.597005
Ahmed Orabi School For Girls, 31.519293, 30.597005
Ahmed Orabi Secondary School, 31.241504, 30.039432
Ahmed Orabi Secondary School, 31.518949, 30.596501
Ahmed Orabi Secondary School For Girls, 31.192747, 29.990483
Ahmed Qadry School, 31.514293, 30.613687
Ahmed Qorashy Secondary School For Boys, 30.808034, 27.554314
Ahmed Ramadan Preparatory School For Boys, 32.5475509, 29.9795812
Ahmed Ramadan Primary School, 32.5470561, 29.9802504
Ahmed Rashed Primary Mixed School, 31.2563663, 29.4115151
Ahmed Saad School, 31.367571, 30.675305
Ahmed Shawky Preparatory School For Boys, 32.2863078, 31.2495434
Ahmed Shawky Preparatory School For Girls, 31.212219, 29.998661
Ahmed Shawky Primary Mixed School, 31.260594, 30.08439
Ahmed Shawky Primary School, 31.288558, 30.117263
Ahmed Shawky Primary School, 32.5373653, 29.9762321
Ahmed Shawky School, 31.168106, 30.031933
Ahmed Shelbaya Secondary School For Girls, 31.932602, 31.162332
Ahmed Taha Hussein Secondary Mixed School, 32.899739, 24.113918
Ahmed Talaat Primary Mixed School, 29.914514, 31.186218
Ahmed Youssef Preparatory School, 31.572953, 30.888977
Ahmed Zowail Preparatory Mixed School, 31.2508896, 30.0038461
Ahmed Zowail Primary School, 31.61435, 31.419927
Ahmidan Soliman Amer School, 32.2027838, 30.9928499
Ahmos Preparatory School For Boys, 29.892407, 31.186674
Ahmos Primary School, 32.656662, 25.72234
Ain El Sira Mixed School, 31.2462356, 30.0152649
Ain El Sira Preparatory School For Girls, 31.2411126, 30.0168349
Ain Helwan Vocational School For Boys, 31.3226116, 29.856753
Aioub Sharara Primary School, 31.946349, 30.794576
Akhmeem Preparatory School For Boys, 31.750494, 26.564696
Al Nasser Primary Mixed School, 31.282502, 29.778998
Al Seraj Al Muneer Azharian Institute, 31.293182, 30.001718
