bureau,lat,lon
Health Bureau - 6th Of October,29.9634118,30.9124589
Health Bureau - Abdin,30.0440969,31.2433727
Health Bureau - Abnoub,27.1935621,31.1860467
Health Bureau - Abou El Matamir,30.9138417,30.1715738
Health Bureau - Abou El Nawatir,31.2208479,29.9371728
Health Bureau - Abou El Seoud,30.0145991,31.2367889
Health Bureau - Abou Hammad,30.533528,31.675005
Health Bureau - Abou Hommos,31.0997613,30.3118157
Health Bureau - Abou Kabir,30.7292064,31.6702902
Health Bureau - Abou Qir,31.313152,30.066753
Health Bureau - Abou Redis,28.910042,33.190749
Health Bureau - Abou Sultan,30.0395319,31.2522496
Health Bureau - Abou Sweir 1,30.5636929,32.1144319
Health Bureau - Abou Sweir 2,30.5636929,32.1144319
Health Bureau - Abou Sweir El Balad,,
Health Bureau - Abou Tesht,,
Health Bureau - Abou Tig,27.0522942,31.3132989
Health Bureau - Abou Zenaima,29.058102,33.102558
Health Bureau - Aboud,30.8272034,30.5349336
Health Bureau - Abyar,30.838762,30.867003
Health Bureau - Aga,30.9417446,31.2934496
Health Bureau - Airport,31.196431,29.950468
Health Bureau - Akhmeem,26.5635889,31.748042
Health Bureau - Almaza,30.0826059,31.3523539
Health Bureau - Amprozo,31.1952987,29.921511
Health Bureau - Arab El Maamal,,
Health Bureau - Arab El Tawaila,30.1364362,31.3129559
Health Bureau - Araishyat Misr,30.597076,32.270771
Health Bureau - Arment,25.605832,32.509397
Health Bureau - Ashmoun,30.2966347,30.9745557
Health Bureau - Asiout 1,27.18939,31.1897451
Health Bureau - Asiout 2,29.0760503,31.094774
Health Bureau - Asiout 3,27.199363,31.183147
Health Bureau - Asiout 4,27.1806561,31.1765495
Health Bureau - Asiout 5,27.1806561,31.1765495
Health Bureau - Aswan 1,24.084692,32.9001813
Health Bureau - Aswan 2,24.103244,32.9051203
Health Bureau - Atfih,29.402656,31.246592
Health Bureau - Atmida,30.7670432,31.3463974
Health Bureau - Azhar,30.040279,31.259538
Health Bureau - Bab El Bahr,30.054014,31.255184
Health Bureau - Bab El Shaareya,30.0629332,31.2464422
Health Bureau - Bahteem 2,30.137584,31.272181
Health Bureau - Bahtim 1,30.137584,31.272181
Health Bureau - Bakkous,31.232554,29.974147
Health Bureau - Baltim,31.5551476,31.0919471
Health Bureau - Bandar Banisuef 1,29.0760503,31.094774
Health Bureau - Bandar Banisuef 2,29.0760503,31.094774
Health Bureau - Bandar Banisuef 3,29.0760503,31.094774
Health Bureau - Bandar Banisuef 4,29.0760503,31.094774
Health Bureau - Bandar Damanhour 1,31.049285,30.465034
Health Bureau - Bandar Damanhour 2,31.049285,30.465034
Health Bureau - Bandar Damanhour 3,31.0221152,30.4599005
Health Bureau - Bandar El Fayoum 1,29.3042664,30.831072
Health Bureau - Bandar El Fayoum 2,29.3171993,30.8320463
Health Bureau - Bandar El Fayoum 3,29.3129615,30.8442557
Health Bureau - Bandar El Fayoum 4,29.3042664,30.831072
Health Bureau - Bandar El Fayoum 5,29.309467,30.8576077
Health Bureau - Bandar El Fayoum 6,29.3042664,30.831072
Health Bureau - Banha 1,30.4656288,31.1778199
Health Bureau - Banha 2,30.459004,31.186763
Health Bureau - Banha 3,30.4554276,31.1795291
Health Bureau - Banha 4,30.4656288,31.1778199
Health Bureau - Banha 5,30.4499888,31.1829368
Health Bureau - Bani Ebaid,31.0552071,31.4115535
Health Bureau - Bani Mazar 1,28.495214,30.8062273
Health Bureau - Bani Mazar 2,28.491662,30.803199
Health Bureau - Basion 1,30.9414516,30.808181
Health Bureau - Basion 2,30.9414516,30.808181
Health Bureau - Basion 3,30.9289193,30.8157991
Health Bureau - Batrah,31.166318,31.450495
Health Bureau - Bear El Abd,31.0107688,33.0071139
Health Bureau - Beba,28.9219676,30.984424
Health Bureau - Beilla,31.1761645,31.2272429
Health Bureau - Belbeis,30.1209288,31.2889068
Health Bureau - Belqas,31.2142573,31.3545629
Health Bureau - Boulaq 1,30.057772,31.236061
Health Bureau - Boulaq 2,30.0413,31.1931
Health Bureau - Boulaq El Dakrour 1,30.0413,31.1931
Health Bureau - Boulaq El Dakrour 2,30.0413,31.1931
Health Bureau - Dahab,28.4852988,34.4945598
Health Bureau - Daqadous,30.72437,31.263557
Health Bureau - Dar El Salam,26.277703,32.052995
Health Bureau - Dar El Salam,26.277703,32.052995
Health Bureau - Daraw,24.4078511,32.9228282
Health Bureau - Dayrout 1,27.5546709,30.8180318
Health Bureau - Dayrout 2,27.5502358,30.8077635
Health Bureau - Deir Mawas 1,27.644723,30.858006
Health Bureau - Deir Mawas 2,27.644723,30.858006
Health Bureau - Dekernes,31.0872435,31.6014218
Health Bureau - Derbala,31.250863,29.984304
Health Bureau - Deshna,,
Health Bureau - Desouq 1,31.129182,30.6425053
Health Bureau - Desouq 2,31.1305792,30.648827
Health Bureau - Deyarb Negm,30.754016,31.443063
Health Bureau - Dokki,30.0398,31.2133
