"adm1","hospital","address","phone","specialized","lat","lng"
"Aswan","ادفو العام","ش. مجلس المدينة","4710414",FALSE,24.9804467,32.8813854
"Aswan","السباعية المركزى","السباعية غرب","3413106",FALSE,25.1976735,32.6744623
"Aswan","دراو المركزى","طريق مصر اسوان السريع الزراعى","4730348",FALSE,24.410928,32.9294155
"Aswan","كوم امبو المركزى","حى السبعين - ش. بور سعيد","3510643",FALSE,24.3993765,32.9224033
"Aswan","نصر المركزى","نصر النوبة","2850003",FALSE,24.5388325,33.034381
"Assiut","ابنوب المركزى","ش. بور سعيد","2500555",FALSE,27.2646723,31.155746
"Assiut","ابو تيج المركزى","ش. الجلاء بجوار المحكمه","2483577",FALSE,27.0533778,31.315438
"Assiut","اسيوط العام","ش. 23 يوليو - ميدان المجذوب","2333158",FALSE,27.1774313,31.1834807
"Assiut","الايمان العام","مدينة مبارك - حى الاربعين - ش. 26 يوليو","2371903",FALSE,27.167781,31.1779023
"Assiut","البدارى المركزى","ش. الدواوين","2600555",FALSE,26.9894768,31.4118666
"Assiut","الغنايم المركزى","ش. الجمهورية - الغنايم بحرى","2651777",FALSE,26.8853589,31.3202833999999
"Assiut","القوصية المركزى","ش. الرى","4750777",FALSE,27.4429446,30.8217386
"Assiut","ديروط العام","ش. بور سعيد","4770444",FALSE,27.5516608,30.8153882
"Assiut","ساحل سليم المركزى","ش. 23 يوليو","2631888",FALSE,27.0642489,31.3504608
"Assiut","صدفا المركزى","ش. الجيش","2670777",FALSE,26.9650373,31.3833958
"Assiut","منفلوط المركزى","ش. جمال عبد الناصر","4709805",FALSE,27.3107354,30.9673101
"Luxor","ارمنت المركزى","ش. المستشفى - وابورات ارمنت","095/2625649",FALSE,25.6115773,32.5043714
"Luxor","اسنا المركزى","ش. احمد عرابى","095/2517339",FALSE,25.3024221,32.5539279
"Luxor","الاقصر العام","ش. كورنيش النيل","2372809/ 095",FALSE,25.708371,32.645069
"Luxor","البياضية المركزى","البياضية - ش. المصالح الحكومية","095/2300039",FALSE,25.6644376,32.6313605
"Luxor","القرنة المركزى","الاقصر - البر الغربى ( القرنة ) ش. الاوبرا","095/2314933",FALSE,25.7311001,32.6327483
"Ismailia","الاسماعيلية العام","الاسماعيلية الطريق الدائرى","064/3213914",FALSE,30.6209714,32.2875094
"Ismailia","التل الكبير المركزى","التل الكبير","064/3961636",FALSE,30.5599956,31.7848981
"Ismailia","القصاصين المركزى","القصاصين الجديدة - امام المجمع الطبى","064/3440021",FALSE,30.5601528,31.9392227
"Ismailia","القنطرة شرق المركزى","القنطرة شرق الجديدة","064/3750424",FALSE,30.8916011,32.3688007
"Ismailia","القنطرة غرب المركزى","ش. مجلس المدينة","064/3561029",FALSE,30.8471856999999,32.3139238
"Ismailia","فايد المركزى","ش. مجلس المدينة","064/3561498",FALSE,30.3238532,32.298931
"Alexandria","ابوقير المركزى","ش. البحر الميت - ابوقير البلد","03/5621542",FALSE,31.3137549,30.0676864
"Alexandria","الجمهورية العام","ش. قنال المحمودية - كوبرى راغب - كرموز","03/3624238",FALSE,31.1819112,29.9047498
"Alexandria","العامرية العام","ش مسجد الحاج شرقاوى - بجوار قسم العامرية","03/4480216",FALSE,31.0116147,29.8047146
"Alexandria","العجمى المركزى","العجمى - طريق العامرية ام زغيو - البوابة 8","03/3022520",FALSE,NA,NA
"Alexandria","برج العرب المركزى","مدينة برج العرب بجوار قسم الشرطة","03/4595036",FALSE,30.883657,29.5736664
"Alexandria","راس التين العام","ش. قصر راس التين بجوار قصر ثقافة الإنفوشى","03/4816025",FALSE,31.2100875,29.8780852
"Red Sea","الشلاتين","الشلاتين","065/3305474",FALSE,23.1396786,35.6061071
"Red Sea","الغردقة العام","الدهار - بجوار قرية شدوان السياحية","065/3546740",FALSE,27.2600373,33.8182247
"Red Sea","القصير المركزى","القصير","065/3330070",FALSE,26.1040321,34.2793502
"Red Sea","راس غارب المركزى","ش. الحرية بجوار السنترال","065/3620535",FALSE,28.3624271,33.0819316
"Red Sea","سفاجا المركزى","ش. الجمهوريه امام عمارات الاوقاف","065/3251549",FALSE,26.755756,33.941059
"Behera","ابو المطامير المركزى","ش. المركز","045/2400081",FALSE,30.915995,30.1763501
"Behera","ابو حمص المركزى","ابو حمص بجوار الكوبرى العلوى","045/2560044",FALSE,31.1050825,30.3144693
"Behera","ادفينا المركزى","خط الغابشة","045/2960356",FALSE,31.292988,30.5151994
"Behera","ادكو المركزى","ش. السيد عبد الجليل","045/2915037",FALSE,31.3027001,30.310936
"Behera","التحرير المركزى","ش. المدارس","045/3620335",FALSE,NA,NA
"Behera","الدلنجات المركزى","طريق الدلنجات","045/3600318",FALSE,30.8338793,30.5302495
"Behera","الرحمانية المركزى","بجوار حديقة الامراء","045/2850810",FALSE,31.106784,30.635992
"Behera","المحمودية المركزى","ش. ترعة الرشيدية","045/2500428",FALSE,31.1837315,30.5194514
"Behera","ايتاى البارود المركزى","ش. الجمهورية","045/3430321",FALSE,30.8869579,30.6697341
"Behera","حوش عيسى المركزى","ش. الجمهوريه","045/2700379",FALSE,30.916575,30.298115
"Behera","رشيد المركزى","ش. كورنيش النيل","045/2929829",FALSE,31.4094333,30.4233398
"Behera","شبراخيت المركزى","ش. محمود ابو شلوع","045/3800011",FALSE,31.0276242,30.7042215
"Behera","غرب النوبارية المركزى","غرب النوبارية","045/2632848",FALSE,30.672744,30.073989
"Behera","كفر الدوار العام","مدخل الكوبرى العلوى بجوار الشاملة","045/2212486",FALSE,31.1391586,30.1216234
"Behera","كفر الدوار المركزى","ش. احمد عرابى","045/2212186",FALSE,31.1372681,30.1251072
"Behera","كوم حمادة المركزى","ش. الثورة","045/3680007",FALSE,30.7659001,30.6867403
"Behera","وادى النطرون المركزى","وادى النطرون - طريق مصر اسكندريه الصحراوى","045/3554401",FALSE,30.3948509,30.3709849999999
"Giza","6 اكتوبر المركزى","مدينة 6 اكتوبر - الحى السادس","38322180",FALSE,29.9493524,30.9126848
"Giza","ابو النمرس المركزى","ابو النمرس - ش. المركز","38091330",FALSE,29.9542567,31.2141456
"Giza","اطفيح المركزى","اطفيح","38412301",FALSE,29.4025627,31.2472147
"Giza","البدرشين المركزى","طريق مصر اسيوط - البدرشين","38020523",FALSE,29.8532989,31.278492
"Giza","التحرير العام","امبابه - ش. نصوح","37110046",FALSE,30.0811776,31.2225062
"Giza","الحوامدية العام","طريق مصر اسيوط - الحوامدية","38114164",FALSE,29.887511,31.2727559999999
"Giza","الشيخ زايد","مدينة الشيخ زايد - الحى الاول المجاورة الاولى","38502523",FALSE,30.0320571,31.0031313
"Giza","الصف المركزى","الصف","38620444",FALSE,29.5834036,31.2847012
"Giza","العياط المركزى","ش. الجيش - طريق مصر اسيوط","38606443",FALSE,29.6264719,31.2586141
"Giza","الواحات البحرية المركزى","الباويطى","38472390",FALSE,28.3475945,28.8701362
"Giza","ام المصريين العام","ش. ربيع الجيزى","35720622",FALSE,30.0056062,31.2096369
"Giza","امبابة العام","ميدان بن خلدون - الكيت كات - امبابة","33040116",FALSE,30.065937,31.2077379
"Giza","اوسيم المركزى","اوسيم","38700550",FALSE,30.122015,31.140832
"Giza","بولاق الدكرور العام","ش. ترعة الزمر - بولاق الدكرور","33072002",FALSE,29.9932886999999,31.2048251
"Dakahlia","اتميدة المركزى","اتميدة","050/6800304",FALSE,30.767057,31.3463786
"Dakahlia","اجا المركزى","ش. بورسعيد","050-6456965",FALSE,30.9357852,31.2899948
"Dakahlia","الجمالية المركزى","طريق صان الحجر (حى الزمالك)","050-7731379",FALSE,31.1651466,31.8644922
"Dakahlia","السنبلاوين المركزى","ارض الجمال","050-6691601",FALSE,30.8903928,31.4600797
"Dakahlia","المطرية المركزى","ش. تانيس","050-7750343",FALSE,31.1818601,32.0335847
"Dakahlia","المقاطعة المركزى","المقاطعة","050/6780485",FALSE,30.894519,31.550502
"Dakahlia","المنزلة المركزى","المنزلة","050-7702903",FALSE,31.1629324,31.9460089
"Dakahlia","المنصورة العام الجديد","ش المستشفى الجديد - خلف الاستاد الرياضى","050-2215760",FALSE,31.0320306,31.390968
"Dakahlia","المنصورة العام القديم","ش. الجمهورية من ش. على باشا ابراهيم","050-2249222",FALSE,31.0441204,31.3663155
"Dakahlia","بلقاس المركزى","بلقاس","050/2784321",FALSE,31.2184507,31.348981
"Dakahlia","بنى عبيد المركزى","بنى عبيد","050/2640707",FALSE,31.0259307,31.6437203
"Dakahlia","تمى الامديد المركزى","تمى الامديد - ابو الصير","050/6850767",FALSE,30.9226917,31.5377033
"Dakahlia","جمصة المركزى","ش. الفتح القديمة","050/2740521",FALSE,31.4351822,31.5428918
"Dakahlia","دكرنس العام","دكرنس","050-7481130",FALSE,31.0872426,31.6016763
"Dakahlia","دماص المركزى","دماص","050/6880146",FALSE,30.8093298,31.3210688
