office,lat,lon
Post Office - El Shalatin,23.131175,35.582022
Post Office - Khazzan Aswan,24.040475,32.880297
Post Office - El Karour,24.044589,32.871973
Post Office - Sohail & El Mahatta,24.061403,32.878774
Post Office - Kima Aswan,24.0740417,32.9160578
Post Office - El Sail El Rify,24.0836118,32.9114191
Post Office - El Sail Aswan,24.083622,32.911416
Post Office - Aswan,24.084776,32.891033
Post Office - Abou El Rish Bahary,24.088938,32.8998293
Post Office - Sharq El Mahatta,24.0953696,32.9001481
Post Office - Abou El Rish,24.0986748,32.8985643
Post Office - Qostol El Nouba,24.4025679,33.0173358
Post Office - Nasr El Nouba,24.402631,33.017364
Post Office - Abou Hour,24.4048523,32.9195318
Post Office - Daraw,24.4048701,32.9195004
Post Office - Abou Simbl El Seyahy,24.4050419,33.0043183
Post Office - El Mansoureya,24.4067631,32.9188783
Post Office - El Fardous District,24.408632,33.036745
Post Office - Toushky,24.413063,33.042997
Post Office - Benban Qebly,24.415198,32.905571
Post Office - Nagaa Wannas,24.426906,32.9463812
Post Office - Eneiba,24.458424,33.050578
Post Office - Armanna,24.459477,33.058721
Post Office - El Bayyara Koum Ombo,24.464293,32.924629
Post Office - Koum Ombo,24.475674,32.948163
Post Office - El Kafour,24.4796423,32.9458765
Post Office - El Sabaeen Koum Ombo,24.482618,32.948191
Post Office - El Atmour Qebly,24.499344,33.002003
Post Office - El Genina & El Shebbak,24.5157809,33.0406263
Post Office - El Atmour El Mostaged,24.523547,32.999101
Post Office - Iqleet,24.527182,32.899453
Post Office - El Malky,24.543605,33.058872
Post Office - Ain Aysh,24.5455638,27.1735316
Post Office - Dahmeet,24.585137,32.9318716
Post Office - El Dakka,24.5910207,32.9385687
Post Office - El Sayyala Aswan,24.612566,32.949058
Post Office - Kalabsha,24.6239212,32.9458752
Post Office - El Alaqy Aswan,24.624695,32.955531
Post Office - El Madiq,24.650623,32.948098
Post Office - El Ghawaleya,24.780089,32.905676
Post Office - El Foqaraa,24.905209,32.861448
Post Office - El Radiseya,24.909105,32.882116
Post Office - Edfou,24.977995,32.8759284
Post Office - Abou El Nasr,24.978548,32.8758199
Post Office - El Habary,25.0144586,32.8684729
Post Office - Marsa Alam,25.066667,34.9
Post Office - El Mafalsa Edfou,25.087299,32.844864
Post Office - Balat,25.2743132,28.7958117
Post Office - Esna,25.301733,32.551666
Post Office - Agricultural Research Station,25.3678101,32.5146439
Post Office - Boulaq El Wadi El Gadid,25.4390388,30.5586043
Post Office - Arment,25.6189579,32.5439525
Post Office - El Adaysat,25.6872431,32.6396357
Post Office - Abou El Goud,25.69569,32.6474
Post Office - Luxor,25.6986817,32.6412525
Post Office - Awlad Diaa,25.9014351,32.7248308
Post Office - El Karateya,25.9119375,32.7632609
Post Office - Qeft,25.9937468,32.8005154
Post Office - Bahgoura,26.0488019,32.2403107
Post Office - Farshout,26.0546495,32.1621688
Post Office - El Marasheda,26.081209,32.4243834
Post Office - El Solimat,26.100633,32.087617
Post Office - Quseir,26.106793,34.274452
Post Office - El Hamarawein,26.106815,34.2743587
Post Office - Abou Shousha,26.1206793,32.0943206
Post Office - Abou Diab Gharb,26.1218315,32.4715312
Post Office - Awlad Amr,26.155061,32.7160121
Post Office - Dandara El Seyahy,26.1566854,32.7272138
Post Office - South Qena,26.1586755,32.7235545
Post Office - Aswan University,26.181398,32.743778
Post Office - El Showaikhat,26.1837028,32.5996945
Post Office - Arabet Abidous,26.1844538,31.9219377
Post Office - Bani Mansour,26.1912353,31.9132552
Post Office - El Harga,26.1953725,31.9284797
Post Office - Qena,26.2121406,32.7445722
Post Office - Awlad Elaiwa Qebly,26.2354377,32.0029805
Post Office - El Boura,26.2384089,32.0031326
Post Office - Sohag Gharb,26.2452229,31.9388032
Post Office - El Sheikh Marzouq,26.2539483,31.9055923
Post Office - El Shahel El Bahary,26.2657131,31.9885638
Post Office - Arab El Ateyat El Bahareya,26.2737331,32.0666997
Post Office - Abou Yaaqub,26.2752432,31.8640479
Post Office - Nagaa Abou Awad,26.2855885,31.8827736
Post Office - Abou El Naga,26.2912547,31.8877242
Post Office - Abou Eid,26.2930613,31.8875024
Post Office - El Zawazeya,26.2952098,32.0079897
Post Office - Awlad Ismail,26.2974775,31.906128
Post Office - Sidi Salem,26.3012422,31.9193065
Post Office - Awlad Ghazy,26.3275374,31.8933385
Post Office - Nagaa Abbas,26.3333333,31.9
Post Office - Gerga,26.336206,31.8906659
Post Office - Awlad Salama,26.3871604,31.7554826
Post Office - Awlad Bahig,26.4743327,31.8013605
Post Office - Nagaa Matroud,26.537395,31.7062722
Post Office - Sohag,26.5488884,31.7024751
Post Office - Ezbet Rashed,26.5498278,31.6905228
Post Office - Sohag University,26.5501508,31.6927403
Post Office - Automated Bakery,26.55706,31.6919947
Post Office - Amr Ibn El Aas,26.5590737,31.6956705
Post Office - Nagaa El Hewig,26.5593976,31.6921596
Post Office - Abou Shagara,26.559402,31.6921635
Post Office - Akhmeem,26.5635889,31.748042
Post Office - Saadullah,26.6117882,31.6982575
Post Office - Bani Wasel,26.6579469,31.6716374
Post Office - El Harafesha,26.6761327,31.4945887
Post Office - El Batakh,26.6955039,31.6053577
Post Office - El Gharaizat 2,26.7006523,31.6014808
Post Office - Safaga,26.75,33.9833333
Post Office - Arab Bakhwag,26.7647964,31.4982868
Post Office - Safaga El Balad,26.776283,33.9367842
Post Office - El Sawalem,26.7763325,31.4972985
Post Office - Awlad Mohamed,26.8756213,31.328281
Post Office - El Barba Sedfa,26.9011592,31.3755654
Post Office - El Aatamna,26.9080249,31.4337748
Post Office - El Mashayaah,26.9110176,31.3085206
Post Office - El Shanayna,26.912142,31.380367
Post Office - Koum Abou Hagar,26.920571,31.367563
Post Office - Awlad Elias,26.9369657,31.4012925
Post Office - El Oqal Qebly,26.9448337,31.457927
Post Office - Bani Fez,26.9634957,31.3790168
Post Office - Sedfa,26.965005,31.377478
Post Office - Dekran,26.966826,31.279401
Post Office - Nagaa Zoraiq,26.968122,31.440848
Post Office - Magris,26.977021,31.377973
Post Office - El Oqal Bahary,26.979817,31.446747
Post Office - El Zaraby,26.9830455,31.2694502
Post Office - El Etmaneya,26.9915774,31.4155591
Post Office - El Badary 2,26.992413,31.415341
Post Office - El Badary,26.993018,31.416188
Post Office - El Balaiza,27.016847,31.249047
Post Office - El Neghila,27.0174607,31.3421917
Post Office - El Masaudi,27.018097,31.300515
Post Office - El Nawamis,27.018701,31.3997255
Post Office - El Aqadema,27.0238059,31.2539172
Post Office - El Zeyara,27.0315256,31.2689634
Post Office - Abou Khars,27.0324009,31.3026883
Post Office - Bani Samea,27.0422672,31.281502
Post Office - Abou Tig,27.0431236,31.3150211
Post Office - Deir Tasa,27.0450679,31.3370074
Post Office - Tasa,27.053265,31.384739
Post Office - Dewaina,27.058726,31.272734
Post Office - Abou Monqar,27.061529,27.970091
Post Office - El Zawya,27.066449,31.218979
Post Office - El Awana,27.0844577,31.3398649
Post Office - Nazlet Baqour,27.096554,31.298586
Post Office - Rifa,27.097593,31.205821
