adm1,adm2,adm2ar,lat,lon
Sharkia,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,30.2857491,31.7401173
Sharkia,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,30.3067368,31.7328598
Cairo,15 Mayu,قسم  15 مايو,29.8374417,31.3622934
Giza,6 October-1,قسم أول 6 أكتوبر,29.9786676,30.9417905
Giza,6 October-2,قسم ثان 6 أكتوبر,29.9681192,30.8984252
New Valley,A-Dakhla Oasis,مركز الوحات الداخلة,25.495308,28.980115
Alexandria,A L Labban,قسم  اللبان,31.1906937,29.8959409
Cairo,Abdin,قسم عابدين,30.043631,31.249293
Assiut,Abnub,مركز أبنوب,27.2630766,31.1475896
Kalyoubia,Abour,قسم العبور,30.2361038,31.4735579
Fayoum,Abshaway,مركز أبشواى,29.362381,30.444877
Behera,Abu-l-Matamir,مركز ابوالمطامير,30.912693,30.176128
Sharkia,Abu Hammad,مركز أبو حماد,30.5328311,31.6729847
Behera,Abu Hummus,مركز ابوحمص,31.098422,30.310869
Sharkia,Abu Kabir,مركز أبوكبير,30.7319916,31.6700649
South Sinai,Abu Radis,قسم أبو رديس,27.9158175,34.3299505
Aswan,Abu Simbel,مركز أبوسنبل,22.351965,31.611888
Assiut,Abu Tig,مركز أبوتيج,27.0324009,31.3026883
Qena,Abu Tisht,مركز أبو طشت,26.117926,32.095347
Aswan,Adfu,مركز أدفو,24.979422,32.879894
Dakahlia,Aga,مركز أجا,30.938865,31.292054
Beni Suef,Ahnasya,مركز أهناسيا,29.0907493,30.9405936
Cairo,Ain Shams,قسم عين شمس,30.1142176,31.3309449
Suhag,Akhmim,مركز أخميم,26.565599,31.749547
Suhag,Akhmim City,مدينة أخميم الجديدة,26.565599,31.749547
Assiut,Al- Badari,مركز البدارى,26.9915774,31.4155591
Giza,Al-Aguza,قسم العجوزة,30.0466433,31.2171012
Giza,Al-Ahram,قسم الأهرام,29.9823898,31.1433126
Port Said,Al-Arab,قسم العرب,31.2667668,32.2982168
Suez,Al-Arbiin,قسم الأربعين,29.9721278,32.5495153
Menoufia,Al-Bagur,مركز الباجور,30.427259,31.0369151
Suhag,Al-Balyana,مركز البلينا,26.232986,32.002218
Port Said,Al-Dawahy ,قسم الضواحى,31.250021,32.281817
Behera,Al-Dilingat,مركز الدلنجات,30.8301989,30.5241609
Suez,Al-Ganayin,قسم الجناين,30.028693,32.557897
Port Said,Al-Ganoub,قسم الجنوب,31.104637,32.301141
Port Said,Al-Ganoub 2,قسم ثان الجنوب,29.3027078,30.8293319
Assiut,Al-Ghanayem,مركز الغنايم,26.882966,31.319994
Matrouh,Al-Hammam,قسم الحمام,30.846425,29.381733
North Sinai,Al-Hasna,قسم الحسنة,30.465565,33.784412
Sharkia,Al-Husayniya,مركز الحسينية,30.8610287,31.9128776
New Valley,Al-Kharga Oasis,مركز الواحات الخارجة,24.65435,30.59557
Behera,Al-Mahmudiyya,مركز المحمودية,31.1854995,30.5274761
Port Said,Al-Manasra,قسم المناصرة,31.334749,32.109051
Suhag,Al-Maragha ,مركز المراغة,26.6955039,31.6053577
Suhag,Al-Minshat,مركز المنشأة,26.4743327,31.8013605
Port Said,Al-Munakh,قسم المناخ,31.260506,32.264777
Sharkia,Al-Qanayat,قسم القنايات,30.616623,31.4598066
Assiut,Al-Qusia,مركز القوصية,27.4401791,30.8207035
Behera,Al-Rahmaniyya,مركز الرحمانية,31.105467,30.6423468
Sharkia,Al-Salhiyya,قسم الصالحية الجديدة,30.6321436,31.9410004
Port Said,Al-Sharq,قسم الشرق,30.1318108,31.2704156
Menoufia,Al-Shuhada,مركز الشهداء,30.590607,30.899466
South Sinai,Al-Tur,قسم الطور,28.2346834,33.6282599
Port Said,Al-Zohour,قسم الزهور,31.260506,32.264777
Alexandria,Al Amreia,قسم  العامرية,31.2284534,29.9473165
Alexandria,Al Attarin,قسم  العطارين,31.194384,29.905466
Cairo,Al Azbakiyya,قسم  الأزبكية,30.060335,31.244071
Cairo,Al Darb al-Ahmar,قسم  الدرب الأحمر,30.037244,31.252018
Alexandria,Al Dikhila,قسم  الدخيلة,31.1240073,29.8127691
New Valley,Al Farafra Oasis,مركز الفرافرة,,
Beni Suef,Al Fashn,مركز الفشن,28.8244069,30.9033781
Alexandria,Al Gumruk,قسم  الجمرك,31.198516,29.882727
Kafr El-Shikh,Al Hamul,مركز الحامول,31.307246,31.1413302
Cairo,Al Khalifa,قسم  الخليفة,30.0307001,31.2559453
Kalyoubia,Al Khanka,مركز الخانكة,30.228923,31.362557
Alexandria,Al Manshiyya,قسم  المنشية,31.1788926,29.9371714
Cairo,Al Matariyya,قسم المطرية,30.114024,31.298251
Alexandria,Al Raml,قسم أول الرمل,31.2284534,29.9473165
Cairo,Al Sahil,قسم الساحل,30.0849865,31.2456587
Cairo,Al Salam,قسم السلام,30.1586238,31.412883
Cairo,Al Sharabiyya,قسم  الشرابية,30.072756,31.265791
Cairo,Al Tibbin,قسم  التبين,29.781759,31.305551
Suhag,Al Usayrat,مركز العسيرات,26.3929917,31.8229803
Qena,Al Waqf,مركز الوقف,26.0907483,32.4218211
Beni Suef,Al Wasta,مركز الواسطى,29.339653,31.205108
Cairo,Al Wayli,قسم الوايلي,30.068269,31.279905
Cairo,Al Zahir,قسم  الظاهر,30.0646943,31.2650508
Cairo,Al Zaytun,قسم الزيتون,30.100191,31.312183
Matrouh,Alamn,قسم مارينا العلمين السياحية,30.8153572,29.1107096
Assiut,Alfath,مركز الفتح,27.204817,31.195732
Qena,Armant,مركز أرمنت,25.6034503,32.503269
Menoufia,Ashmun,مركز أشمون,30.293611,30.982027
Assiut,Assuit,مركز أسيوط,27.1820262,31.1969501
Assiut,Assuit City,مدينة اسيوط الجديدة,27.2695944,31.2932659
Aswan,Aswan,قسم أسوان,24.094324,32.897977
Aswan,Aswan,مركز أسوان,24.4808898,32.9484487
Aswan,Aswan City,مدينة أسوان الجديدة,24.094324,32.897977
Suez,Ataqa,قسم عتاقة,29.9466053,32.490381
Giza,Atfeh,مركز أطفيح,29.4065248,31.2427277
Fayoum,Atsa,مركز أطسا,29.240365,30.794611
Giza,Auseem,مركز أوسيم,30.1229391,31.1358702
Sharkia,Awlad Saqr,مركز أولاد صقر,30.926499,31.695634
Giza,Ayat,مركز العياط,29.6202709,31.2550132
Cairo,Bab Al-Shariyya,قسم  باب الشعرية,30.057541,31.260408
Alexandria,Bab Sharqi,قسم  باب شرقى,31.201961,29.917329
Cairo,Badr,قسم بدر,30.1364312,31.7112851
Behera,Badr,مركز بدر,30.5745336,30.7185533
Giza,Badrashain,مركز البدرشين,29.847358,31.273919
Giza,Bahariya Oasis,قسم الواحات البحرية,28.349828,28.867741
Kalyoubia,Banha,قسم بنها,30.4784147,31.182266
Kalyoubia,Banha,مركز بنها,30.4403317,31.1713368
Beni Suef,Bani Swayf,قسم بنى سويف,29.0936519,31.1040474
Beni Suef,Bani Swayf,مركز بنى سويف,29.0936519,31.1040474
Beni Suef,Bani Swayf City,قسم مدينة بنى سويف الجديدة,29.0936519,31.1040474
Dakahlia,Bany Abeed,مركز بنى عبيد,31.021572,31.648974
Cairo,Basatin,قسم  البساتين,29.9914833,31.2670563
Gharbia,Basyun,مركز بسيون,30.936888,30.811699
