LocationLevel2ID,ADM1,ADM2,Sec_Code
ARE006001,Giza,6th October (1),2120
ARE006002,Giza,6th October (2),2121
ARE006006,Giza,Abu Elnumros,2109
ARE006008,Giza,Al Ayaat,2112
ARE006004,Giza,Al Hawamidiyya,2110
ARE006010,Giza,Ausim,2116
ARE006007,Giza,El Badrasheen,2111
ARE006005,Giza,El Wahaat Elbaharia,2122
ARE006011,Giza,Kerdasa,2115
ARE006009,Giza,Mansheat Alqanater,2118
ARE006003,Giza,Sheikh Zaid,2119
ARE002002,Alexandria,Al Gomrok,212
ARE002001,Alexandria,Al Montazah,9902
ARE002004,Alexandria,Amreya,9903
ARE002005,Alexandria,Attarin,207
ARE002006,Alexandria,Bab Sharky,206
ARE002007,Alexandria,Borg El Arab,9904
ARE002003,Alexandria,El Laban,210
ARE002008,Alexandria,Karmoz,209
ARE002009,Alexandria,Mansheya,211
ARE002010,Alexandria,Minet El Bassal,214
ARE002011,Alexandria,Moharram Beyk,208
ARE002012,Alexandria,Raml,9905
ARE002013,Alexandria,Sidi Gaber,205
ARE025001,Assiut,Abnoub,2511
ARE025002,Assiut,Aboteeg,2505
ARE025003,Assiut,Al Badary,2514
ARE025004,Assiut,Al Ghanayem,2506
ARE025005,Assiut,Alfath,2512
ARE025006,Assiut,Alqusiya,2509
ARE025007,Assiut,Assiut,9918
ARE025008,Assiut,Dayrout,2510
ARE025009,Assiut,Manfalot,2508
ARE025010,Assiut,New Assiut,2515
ARE025011,Assiut,Sadfa,2507
ARE025012,Assiut,Sahel Selim,2513
ARE028001,Aswan,Abu Simbel,2809
ARE028012,Aswan,Al Nouba,2807
ARE028010,Aswan,Al Radiseya,2805
ARE028002,Aswan,Al Sabaiya,2805
ARE028014,Aswan,Albasileya,2805
ARE028003,Aswan,Aswan,9920
ARE028013,Aswan,Bahary,2808
ARE028011,Aswan,Draw,2808
ARE028004,Aswan,Edfu,2805
ARE028005,Aswan,Kalabsha,2807
ARE028006,Aswan,Kom Ombo,2806
ARE028007,Aswan,Nasr,2807
ARE028008,Aswan,New Aswan,2804
ARE028009,Aswan,Toshka,2810
ARE022002,Beni Suef,Ahnasia,2204
ARE022003,Beni Suef,Al Fashn,2207
ARE022001,Beni Suef,Alwasty,2208
ARE022004,Beni Suef,Baba,2205
ARE022005,Beni Suef,Bani Souwaif,9915
ARE022006,Beni Suef,Nasser,2209
ARE022007,Beni Suef,Samasta,2206
ARE001009,Cairo,Abdeen,116
ARE001030,Cairo,Ain Shams,134
ARE001013,Cairo,Al Azbakkiya,120
ARE001035,Cairo,Al Bassatin,107
ARE001014,Cairo,Al Darb Al Ahmar,114
ARE001015,Cairo,Al Gammaliya,122
ARE001008,Cairo,Al Khalifa,111
ARE001036,Cairo,Al Marg,135
ARE001025,Cairo,Al Mataria,133
ARE001010,Cairo,Al Moski,115
ARE001029,Cairo,Al Nuzha,138
ARE001021,Cairo,Al Sahel,129
ARE001032,Cairo,Al Salam,9901
ARE001007,Cairo,Al Sayyida Zainab,110
ARE001018,Cairo,Al Sharabeya,126
ARE001022,Cairo,Al Wayli,124
ARE001017,Cairo,Al Zahir,123
ARE001033,Cairo,Al Zamalek,118
ARE001031,Cairo,Al Zawyah Elhamra,130
ARE001024,Cairo,Al Zayton,132
ARE001016,Cairo,Bab Ash Shariyah,121
ARE001012,Cairo,Bulaq,119
ARE001026,Cairo,East Nacr City,141
ARE001023,Cairo,Hadayk Al Koba,125
ARE001028,Cairo,Heliopolis,139
ARE001037,Cairo,Helwan,102
ARE001038,Cairo,Maadi,106
ARE001034,Cairo,Manshiet Nasser,113
ARE001006,Cairo,Old Cairo,109
ARE001011,Cairo,Qasr Al-nil,117
ARE001020,Cairo,Rod El Farag,128
ARE001019,Cairo,Shubra,127
ARE001027,Cairo,West Nacr City,140
ARE012001,Dakahlia,Aga,1204
ARE012002,Dakahlia,Al Gamaleya,1215
ARE012003,Dakahlia,Al Kordi,1213
ARE012004,Dakahlia,Al Mansoura,9908
ARE012005,Dakahlia,Al Manzala,1216
ARE012006,Dakahlia,Al Matareya,1217
ARE012007,Dakahlia,Al Sinbillawain,1207
ARE012008,Dakahlia,Bani Obeid,1209
ARE012009,Dakahlia,Belqas,1222
ARE012010,Dakahlia,Dikirnis,1211
ARE012011,Dakahlia,Gamasa,1219
ARE012012,Dakahlia,Meniat El Nasr,1212
ARE012013,Dakahlia,Mit Ghamr,1205
ARE012014,Dakahlia,Mitt Slsell,1214
ARE012015,Dakahlia,Sherbin,1218
ARE012016,Dakahlia,Talkha,1220
ARE012017,Dakahlia,Tammy Alamded,1208
ARE011001,Damietta,Al Rawda,1104
ARE011002,Damietta,Al Zarqa,1105
ARE011003,Damietta,El Sroo,1105
ARE011004,Damietta,Fareskour,1104
ARE011005,Damietta,Izbet Elbarj,1103
ARE011006,Damietta,Kafr Batikh,1107
ARE011007,Damietta,Kafr Saad,1106
ARE011008,Damietta,Meet Abou Ghaleb,1106
ARE011009,Damietta,New Damietta,1108
ARE011010,Damietta,Ras El Bar,1110
ARE018001,Behera,Abouhoms,1809
ARE018002,Behera,Abualmatamir,1804
ARE018003,Behera,Aldelengat,1816
ARE018004,Behera,Almahmudiya,1810
ARE018005,Behera,Alrahmaniah,1811
ARE018006,Behera,Badr,1815
ARE018007,Behera,Damanhur,1801
ARE018008,Behera,Edco,1807
ARE018009,Behera,Housh Eissa,1803
ARE018010,Behera,Itai Albarood,1813
ARE018011,Behera,Kafr El Dawar,1805
ARE018012,Behera,Kom Hamada,1814
ARE018013,Behera,Rasheed,1808
ARE018014,Behera,Shoubrakhit,1812
ARE018015,Behera,Wadi Alnatrun,1817
ARE023001,Fayoum,Abshway,2305
ARE023002,Fayoum,Alfayoum,2301
ARE023003,Fayoum,Atsa,2306
ARE023004,Fayoum,Snors,2304
ARE023005,Fayoum,Tamya,2303
ARE023006,Fayoum,Youssef Al Sediq,2307
ARE016001,Gharbia,Al Mahala Al Kobra,9912
ARE016002,Gharbia,Alsanta,1604
ARE016003,Gharbia,Basyoun,1612
ARE016004,Gharbia,Kafr Alzayat,1613
ARE016005,Gharbia,Qotour,1611
ARE016006,Gharbia,Samanoud,1606
ARE016007,Gharbia,Tanta,9913
ARE016008,Gharbia,Zefta,1605
ARE021009,Giza,Abu Alnomros,2109
ARE021002,Giza,Al Agouzah,2102
ARE021013,Giza,Al Ayat,2112
ARE021003,Giza,Al Dukki,2103
ARE021006,Giza,Al Haram,2108
ARE021008,Giza,Al Hawamdeya,2110
ARE021012,Giza,Al Saf,2113
ARE021017,Giza,Al Warraq,2117
ARE021011,Giza,Albadrasheen,2111
ARE021018,Giza,Alomaraneyah,2106
ARE021010,Giza,Atfih,2114
ARE021014,Giza,Awseem,2116
ARE021015,Giza,Bahariya Oasis,2122
